UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,MONTH,PASSENGERS
16,PSA Airlines Inc.,ABE,GSO,3,35
16,PSA Airlines Inc.,ABE,CLT,3,2211
16,PSA Airlines Inc.,ATL,BWI,3,1
16,PSA Airlines Inc.,ATL,PHL,3,214
16,PSA Airlines Inc.,AVL,CLT,3,706
16,PSA Airlines Inc.,AVP,CLT,3,150
16,PSA Airlines Inc.,BDL,ILM,3,2
16,PSA Airlines Inc.,BDL,MYR,3,5
16,PSA Airlines Inc.,BDL,CLT,3,363
16,PSA Airlines Inc.,BHM,MYR,3,1
16,PSA Airlines Inc.,BHM,CAK,3,2
16,PSA Airlines Inc.,BHM,IAD,3,28
16,PSA Airlines Inc.,BHM,GSP,3,33
16,PSA Airlines Inc.,BHM,PHL,3,915
16,PSA Airlines Inc.,BHM,DCA,3,1815
16,PSA Airlines Inc.,BHM,CLT,3,5724
16,PSA Airlines Inc.,BNA,DAY,3,3
16,PSA Airlines Inc.,BNA,ORF,3,5
16,PSA Airlines Inc.,BNA,SYR,3,17
16,PSA Airlines Inc.,BNA,DCA,3,892
16,PSA Airlines Inc.,BNA,PHL,3,2373
16,PSA Airlines Inc.,BNA,CLT,3,2983
16,PSA Airlines Inc.,BTR,CLT,3,2779
16,PSA Airlines Inc.,BUF,CLT,3,8
16,PSA Airlines Inc.,BUF,DCA,3,126
16,PSA Airlines Inc.,BWI,GSO,3,2
16,PSA Airlines Inc.,BWI,BHM,3,3
16,PSA Airlines Inc.,BWI,STL,3,4
16,PSA Airlines Inc.,BWI,ORF,3,9
16,PSA Airlines Inc.,BWI,DAY,3,42
16,PSA Airlines Inc.,BWI,CLT,3,182
16,PSA Airlines Inc.,BWI,PHL,3,2698
16,PSA Airlines Inc.,CAE,DCA,3,868
16,PSA Airlines Inc.,CAK,OAJ,3,1
16,PSA Airlines Inc.,CAK,BNA,3,2
16,PSA Airlines Inc.,CAK,GSO,3,4
16,PSA Airlines Inc.,CAK,DAB,3,9
16,PSA Airlines Inc.,CAK,DCA,3,1152
16,PSA Airlines Inc.,CAK,PHL,3,2214
16,PSA Airlines Inc.,CAK,CLT,3,8305
16,PSA Airlines Inc.,CHA,DCA,3,841
16,PSA Airlines Inc.,CHA,CLT,3,2447
16,PSA Airlines Inc.,CHS,STL,3,2
16,PSA Airlines Inc.,CHS,DAY,3,3
16,PSA Airlines Inc.,CHS,DTW,3,4
16,PSA Airlines Inc.,CHS,MEM,3,7
16,PSA Airlines Inc.,CHS,SDF,3,20
16,PSA Airlines Inc.,CHS,CLT,3,3279
16,PSA Airlines Inc.,CLE,CLT,3,1417
16,PSA Airlines Inc.,CLT,CLT,3,0
16,PSA Airlines Inc.,CLT,MKE,3,40
16,PSA Airlines Inc.,CLT,BUF,3,46
16,PSA Airlines Inc.,CLT,OMA,3,50
16,PSA Airlines Inc.,CLT,BWI,3,186
16,PSA Airlines Inc.,CLT,AVP,3,194
16,PSA Airlines Inc.,CLT,MCI,3,195
16,PSA Airlines Inc.,CLT,RIC,3,288
16,PSA Airlines Inc.,CLT,PVD,3,319
16,PSA Airlines Inc.,CLT,GSP,3,344
16,PSA Airlines Inc.,CLT,IND,3,368
16,PSA Airlines Inc.,CLT,CMH,3,412
16,PSA Airlines Inc.,CLT,DTW,3,503
16,PSA Airlines Inc.,CLT,BDL,3,518
16,PSA Airlines Inc.,CLT,MGM,3,667
16,PSA Airlines Inc.,CLT,AVL,3,722
16,PSA Airlines Inc.,CLT,DCA,3,827
16,PSA Airlines Inc.,CLT,GSO,3,1080
16,PSA Airlines Inc.,CLT,CAE,3,1096
16,PSA Airlines Inc.,CLT,FAY,3,1192
16,PSA Airlines Inc.,CLT,HPN,3,1246
16,PSA Airlines Inc.,CLT,TRI,3,1361
16,PSA Airlines Inc.,CLT,SYR,3,1455
16,PSA Airlines Inc.,CLT,MDT,3,1482
16,PSA Airlines Inc.,CLT,EWN,3,1611
16,PSA Airlines Inc.,CLT,CLE,3,1612
16,PSA Airlines Inc.,CLT,MEM,3,1672
16,PSA Airlines Inc.,CLT,STL,3,1678
16,PSA Airlines Inc.,CLT,PGV,3,1755
16,PSA Airlines Inc.,CLT,PNS,3,1921
16,PSA Airlines Inc.,CLT,SRQ,3,2110
16,PSA Airlines Inc.,CLT,LEX,3,2219
16,PSA Airlines Inc.,CLT,CHA,3,2223
16,PSA Airlines Inc.,CLT,ABE,3,2405
16,PSA Airlines Inc.,CLT,BTR,3,2738
16,PSA Airlines Inc.,CLT,CVG,3,2797
16,PSA Airlines Inc.,CLT,ORF,3,2911
16,PSA Airlines Inc.,CLT,JAN,3,2937
16,PSA Airlines Inc.,CLT,SDF,3,2942
16,PSA Airlines Inc.,CLT,GPT,3,2979
16,PSA Airlines Inc.,CLT,BNA,3,3073
16,PSA Airlines Inc.,CLT,XNA,3,3199
16,PSA Airlines Inc.,CLT,DSM,3,3274
16,PSA Airlines Inc.,CLT,MOB,3,3280
16,PSA Airlines Inc.,CLT,CHS,3,3430
16,PSA Airlines Inc.,CLT,CRW,3,3506
16,PSA Airlines Inc.,CLT,MLB,3,3638
16,PSA Airlines Inc.,CLT,VPS,3,3717
16,PSA Airlines Inc.,CLT,HSV,3,4278
16,PSA Airlines Inc.,CLT,LIT,3,4658
16,PSA Airlines Inc.,CLT,IAD,3,4668
16,PSA Airlines Inc.,CLT,TLH,3,4897
