Airport,TotalDep,TotalArr
ABQ,115344.0,116496
ACT,108.0,76
ALB,53390.0,52030
AMA,18196.0,18181
ATL,71216.0,74607
AUS,164684.0,165933
AVP,368.0,268
BDL,66652.0,69839
BHM,46350.0,47228
BKG,4639.0,4761
BNA,256411.0,254925
BOI,31748.0,31220
BOS,67744.0,72417
BUF,70361.0,67022
BUR,124939.0,124567
BWI,559400.0,546210
CAK,8455.0,8277
CHS,23215.0,24584
CLE,38075.0,36829
CMH,81667.0,78594
CMI,103.0,109
CRP,8913.0,8988
DAL,325243.0,327297
DAY,5424.0,4815
DCA,11593.0,12009
DEN,553129.0,543544
DSM,6315.0,6885
DTW,55929.0,53911
ECP,20818.0,22981
ELP,64211.0,63650
EWR,47712.0,47086
EYW,8846.0,9426
FLL,185236.0,187806
GEG,30370.0,28796
GSP,16813.0,16231
HOU,403566.0,408867
HRL,20343.0,20157
IAD,22196.0,23366
ICT,260.0,140
IND,61468.0,58363
ISP,58261.0,59235
JAN,14973.0,15303
JAX,47849.0,49509
LAS,710975.0,719565
LAX,328317.0,326108
LBB,23527.0,22833
LGA,49675.0,50471
LIT,33427.0,33885
MAF,23949.0,23397
MCI,185591.0,189968
MCO,346570.0,358882
MDT,135.0,134
MDW,738735.0,717967
MEM,93.0,95
MHT,60767.0,66399
MKE,92728.0,88054
MSP,66555.0,66169
MSY,151760.0,150342
OAK,276664.0,273967
OKC,56981.0,57909
OMA,54199.0,55792
ONT,101261.0,102277
ORF,35357.0,32724
PBI,45685.0,45416
PDX,109773.0,106149
PHL,99021.0,98837
PHX,565211.0,576015
PIT,59689.0,59568
PVD,84396.0,89182
RDG,137.0,137
RDU,81719.0,78150
RNO,79510.0,78382
RSW,69913.0,69992
SAN,275283.0,274432
SAT,130670.0,132972
SDF,52810.0,50156
SEA,108343.0,105439
SFO,133036.0,130859
SJC,180803.0,178180
SLC,106177.0,103476
SMF,196284.0,198092
SNA,143412.0,145249
STL,272517.0,271891
TPA,252224.0,261648
TUL,39529.0,40330
TUS,58110.0,59097
XNA,227.0,474
BTR,0.0,74
CAE,0.0,83
FAT,0.0,77
FSD,0.0,75
GFK,0.0,86
MIA,0.0,93
SCK,0.0,101
SWO,0.0,90
