,Airport,SWShare
0,05A,0.0
1,1G4,0.0
2,7AK,0.0
3,A27,0.0
4,A37,0.0
5,ABE,0.0
6,ABI,0.0
7,ABL,0.0
8,ABQ,0.5762042971540471
9,ABR,0.0
10,ABY,0.0
11,ACK,0.0
12,ACT,0.02143282397301052
13,ACV,0.0
14,ACY,0.0
15,ADK,0.0
16,ADQ,0.0
17,ADS,0.0
18,ADW,0.0
19,AET,0.0
20,AEX,0.0
21,AFW,0.0
22,AGN,0.0
23,AGS,0.0
24,AHN,0.0
25,AIA,0.0
26,AIN,0.0
27,AK5,0.0
28,AKB,0.0
29,AKI,0.0
30,AKK,0.0
31,AKN,0.0
32,AKP,0.0
33,ALB,0.4806229463924022
34,ALO,0.0
35,ALS,0.0
36,ALW,0.0
37,ALZ,0.0
38,AMA,0.5820298755717621
39,ANC,0.0
40,AND,0.0
41,ANI,0.0
42,ANV,0.0
43,AOO,0.0
44,AOS,0.0
45,APC,0.0
46,APN,0.0
47,ARA,0.0
48,ARC,0.0
49,ART,0.0
50,ASE,0.0
51,ATK,0.0
52,ATL,0.02020082254472612
53,ATT,0.0
54,ATW,0.0
55,ATY,0.0
56,AUG,0.0
57,AUK,0.0
58,AUS,0.3869809498520776
59,AVL,0.0
60,AVP,0.020745250577822876
61,AZ3,0.0
62,AZA,0.0
63,AZO,0.0
64,BCE,0.0
65,BDL,0.30723419162725524
66,BDR,0.0
67,BED,0.0
68,BEH,0.0
69,BET,0.0
70,BFD,0.0
71,BFF,0.0
72,BFI,0.0
73,BFL,0.0
74,BFM,0.0
75,BGM,0.0
76,BGR,0.0
77,BHB,0.0
78,BHM,0.4060446780551905
79,BID,0.0
80,BIF,0.0
81,BIH,0.0
82,BIL,0.0
83,BIS,0.0
84,BJI,0.0
85,BKC,0.0
86,BKG,0.8027340370306282
87,BKL,0.0
88,BKW,0.0
89,BLD,0.0
90,BLI,0.0
91,BLV,0.0
92,BMG,0.0
93,BMI,0.0
94,BNA,0.5827403530382333
95,BOI,0.2853701506489771
96,BOS,0.06601667373180727
97,BPT,0.0
98,BQK,0.0
99,BQN,0.0
100,BRD,0.0
101,BRL,0.0
102,BRO,0.0
103,BRW,0.0
104,BTI,0.0
105,BTM,0.0
106,BTR,0.0
107,BTT,0.0
108,BTV,0.0
109,BUF,0.3041677654189164
110,BUR,0.7520782543265613
111,BVU,0.0
112,BWD,0.0
113,BWI,0.606804146748109
114,BZN,0.0
115,CAE,0.0
116,CAK,0.10596964417762292
117,CDB,0.0
118,CDC,0.0
119,CDR,0.0
120,CDV,0.0
121,CEC,0.0
122,CEF,0.0
123,CEM,0.0
124,CEZ,0.0
125,CGA,0.0
126,CGI,0.0
127,CHA,0.0
128,CHO,0.0
129,CHS,0.1862967748148267
130,CHU,0.0
131,CIC,0.0
132,CID,0.0
133,CIK,0.0
134,CIU,0.0
135,CKB,0.0
136,CKD,0.0
137,CKX,0.0
138,CLD,0.0
139,CLE,0.0998809036631305
140,CLL,0.0
141,CLM,0.0
142,CLP,0.0
143,CLT,0.0
144,CMH,0.2965460394925089
145,CMI,0.016522297080526147
146,CMX,0.0
147,CNM,0.0
148,CNO,0.0
149,CNY,0.0
150,COD,0.0
151,CON,0.0
152,COS,0.0
153,COU,0.0
154,CPR,0.0
155,CRP,0.3406849629233239
156,CRW,0.0
157,CSG,0.0
158,CVG,0.0
159,CVN,0.0
160,CVO,0.0
161,CWA,0.0
162,CXF,0.0
163,CYF,0.0
164,CYM,0.0
165,CYS,0.0
166,CZF,0.0
167,CZN,0.0
168,DAB,0.0
169,DAL,0.9613046241151522
170,DAY,0.04896455847039919
171,DBQ,0.0
172,DCA,0.01369579804929684
173,DDC,0.0
174,DEC,0.0
175,DEN,0.26592331271826586
176,DET,0.0
177,DFW,0.0
178,DHN,0.0
179,DIK,0.0
180,DLG,0.0
181,DLH,0.0
182,DOF,0.0
183,DOV,0.0
184,DRF,0.0
185,DRG,0.0
186,DRO,0.0
187,DRT,0.0
188,DSM,0.07061783617556612
189,DTO,0.0
