ORIGIN,DEST,PASSENGERS
ABQ,ATL,37
ABQ,AUS,299
ABQ,BNA,133
ABQ,BOS,57
ABQ,BUR,411
ABQ,BWI,4348
ABQ,CLE,44
ABQ,CRP,26
ABQ,DAL,15865
ABQ,DAY,228
ABQ,DEN,8223
ABQ,ECP,2
ABQ,ELP,96
ABQ,EWR,20
ABQ,EYW,26
ABQ,FLL,18
ABQ,HOU,7565
ABQ,IND,26
ABQ,LAS,14399
ABQ,LAX,8730
ABQ,LGA,64
ABQ,LIT,289
ABQ,MAF,4
ABQ,MCI,3067
ABQ,MCO,3224
ABQ,MDW,6455
ABQ,MSP,8
ABQ,MSY,439
ABQ,OAK,4783
ABQ,OMA,34
ABQ,ONT,399
ABQ,ORF,22
ABQ,PDX,2011
ABQ,PHL,63
ABQ,PHX,18463
ABQ,RNO,28
ABQ,SAN,5051
ABQ,SAT,322
ABQ,SDF,72
ABQ,SEA,4205
ABQ,SFO,271
ABQ,SJC,461
ABQ,SLC,93
ABQ,SLC,321
ABQ,SMF,222
ABQ,SNA,316
ABQ,STL,40
ABQ,TPA,318
ABQ,TUS,3746
ACT,EWR,108
ALB,ABQ,1
ALB,AUS,1
ALB,BHM,23
ALB,BUR,70
ALB,BWI,16579
ALB,CHS,178
ALB,CMH,90
ALB,DEN,390
ALB,DTW,46
ALB,FLL,5220
ALB,GEG,4
ALB,JAX,32
ALB,LAS,4088
ALB,LAX,5
ALB,MCI,5
ALB,MCO,11234
ALB,MDW,6491
ALB,MKE,10
ALB,MSP,10
ALB,OAK,116
ALB,ORF,26
ALB,PDX,10
ALB,PHX,37
ALB,RDU,25
ALB,SAT,17
ALB,SMF,26
ALB,STL,1
ALB,TPA,8655
AMA,AUS,90
AMA,BHM,34
AMA,BUR,41
AMA,BWI,84
AMA,CHS,4
AMA,CRP,27
AMA,DAL,10429
AMA,DEN,3053
AMA,ELP,1
AMA,GEG,10
AMA,HOU,745
AMA,HRL,60
AMA,LAS,2712
AMA,LAX,15
AMA,MDW,111
AMA,MSY,26
AMA,OAK,24
AMA,OKC,1
AMA,PHX,76
AMA,RNO,1
AMA,SAN,62
AMA,SAT,522
AMA,SLC,14
AMA,SMF,13
AMA,SNA,15
AMA,TUL,26
ATL,ABQ,119
ATL,AMA,9
ATL,AUS,4325
ATL,BDL,54
ATL,BOI,18
ATL,BUF,59
ATL,BUR,18
ATL,BWI,10553
ATL,CLE,111
ATL,DAL,2234
ATL,DEN,6544
ATL,DSM,208
ATL,DTW,65
ATL,ELP,27
ATL,EWR,10
ATL,HOU,6911
ATL,ISP,211
ATL,JAX,4
ATL,LAS,6536
ATL,LAX,2902
ATL,LBB,59
ATL,LIT,19
ATL,MCI,21
ATL,MCO,2635
ATL,MDW,11095
ATL,MHT,44
ATL,MSY,5
ATL,OAK,45
ATL,OKC,28
ATL,OMA,93
ATL,ORF,3261
ATL,PDX,254
ATL,PHX,5556
ATL,PIT,6
ATL,PVD,9
ATL,RDU,4
ATL,RNO,115
ATL,SAN,41
ATL,SDF,3664
ATL,SEA,59
ATL,SFO,2510
ATL,SJC,91
ATL,SMF,579
ATL,SNA,70
ATL,TPA,11
ATL,TUL,9
ATL,TUS,15
AUS,ALB,1
AUS,AMA,225
AUS,ATL,5032
AUS,BHM,266
AUS,BNA,6098
AUS,BOI,19
AUS,BOS,107
